date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:42	12548/12548	---M--	200	added ('OK')	image/jpeg	etag:%227cb3df0fe39f7114b76504cfb13926c7%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63630250d4ec6b51bad50706_image-2-testimonial-strip-dataplus-template.jpg	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63630250d4ec6b51bad50706_image-2-testimonial-strip-dataplus-template.jpg	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:42	11416/11416	---M--	200	added ('OK')	image/jpeg	etag:%22236e653fa81fe386e83d5254a395610e%22	https://assets-global.website-files.com/63619a386216ae681d93409b/6363024f6ef8bb3c2c276689_image-3-testimonial-strip-dataplus-template.jpg	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/6363024f6ef8bb3c2c276689_image-3-testimonial-strip-dataplus-template.jpg	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:43	11902/11902	---M--	200	added ('OK')	image/jpeg	etag:%225745ae06be5d3c90408d15a545287aa4%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63630250686bfc58802b6588_image-4-testimonial-strip-dataplus-template.jpg	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63630250686bfc58802b6588_image-4-testimonial-strip-dataplus-template.jpg	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:43	12470/12470	---M--	200	added ('OK')	image/jpeg	etag:%222b2d26cd7d93d7f7e770b5d603c62fa7%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63630250788bd050f93a4fe6_image-8-testimonial-strip-dataplus-template.jpg	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63630250788bd050f93a4fe6_image-8-testimonial-strip-dataplus-template.jpg	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:43	13233/13233	---M--	200	added ('OK')	image/jpeg	etag:%22680350de6a2ceb0185812279aaed7dcb%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63630250dcbdd3978177e81e_image-6-testimonial-strip-dataplus-template.jpg	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63630250dcbdd3978177e81e_image-6-testimonial-strip-dataplus-template.jpg	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:43	11863/11863	---M--	200	added ('OK')	image/jpeg	etag:%22a30fbbd23c2fc3ae2f0547a7f9604a06%22	https://assets-global.website-files.com/63619a386216ae681d93409b/6363024f74a949560a66e734_image-7-testimonial-strip-dataplus-template.jpg	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/6363024f74a949560a66e734_image-7-testimonial-strip-dataplus-template.jpg	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:43	4419/4419	---M--	200	added ('OK')	image/png	etag:%221568fc9a5ccd5e0e5d3261b9493edc2c%22	https://assets-global.website-files.com/63619a386216ae681d93409b/65e0d67bce0bd2c26c80ba1a_webflow-logo.png	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/65e0d67bce0bd2c26c80ba1a_webflow-logo.png	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:44	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=63619a386216ae681d93409b	C:/My%20Web%20Sites/kore2/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c81105.js	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:44	1857699/1857699	---M-Z	200	added ('OK')	text/javascript	etag:%2286b191cda31fe39cfe3cd11e4b805779%22	https://assets-global.website-files.com/63619a386216ae681d93409b/js/webflow.1ce36f782.js	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/js/webflow.1ce36f782.js	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:45	210842/210842	---M--	200	added ('OK')	image/png	etag:%22d313be178d0bbf33be70b47a9da62891%22	https://assets-global.website-files.com/63619a386216ae681d93409b/6362c97b72d42e05c2e81932_image-1-features-section-dataplus-template.png	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/6362c97b72d42e05c2e81932_image-1-features-section-dataplus-template.png	(from https://dataplustemplate.webflow.io/home-pages/home-v1)
16:35:45	138401/138401	---M--	200	added ('OK')	image/png	etag:%22e153ede58ff1cc1f02948261be9afa95%22	https://assets-global.website-files.com/63619a386216ae681d93409b/6362d09e7bacf113b5419ece_image-stats-section-dataplus-template.png	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/6362d09e7bacf113b5419ece_image-stats-section-dataplus-template.png	(from https://dataplustemplate.webflow.io/home-pages/home-v1)
16:35:45	223714/223714	---M--	200	added ('OK')	image/png	etag:%22f8c2280b2b005f3fb76d83bdf067bc6e%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63630e0a6ed22d67cbe1dd16_image-1-slider-v1-dataplus-template.png	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63630e0a6ed22d67cbe1dd16_image-1-slider-v1-dataplus-template.png	(from https://dataplustemplate.webflow.io/home-pages/home-v1)
16:35:46	107266/107266	---M--	200	added ('OK')	image/png	etag:%22312c398c173d93293cc3c4c3ffe3d49e%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63630e0badc09d756208dd70_image-2-slider-v1-dataplus-template.png	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63630e0badc09d756208dd70_image-2-slider-v1-dataplus-template.png	(from https://dataplustemplate.webflow.io/home-pages/home-v1)
16:35:46	73450/73450	---M--	200	added ('OK')	image/png	etag:%22b02f2f2fd323e226fc5ce87483bdba2d%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63630e0989d89f2eaeeed2a3_image-3-slider-v1-dataplus-template.png	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63630e0989d89f2eaeeed2a3_image-3-slider-v1-dataplus-template.png	(from https://dataplustemplate.webflow.io/home-pages/home-v1)
16:35:46	81934/81934	---M--	200	added ('OK')	image/png	etag:%225f8f8e72a47b755ca3b21a65b2599085%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63630e0a6ed22d2c98e1dd15_image-4-slider-v1-dataplus-template.png	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63630e0a6ed22d2c98e1dd15_image-4-slider-v1-dataplus-template.png	(from https://dataplustemplate.webflow.io/home-pages/home-v1)
16:35:47	85075/85075	---M--	200	added ('OK')	image/png	etag:%227670fd7936af3823f601beb60874f7a4%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63630e0ae9afcde565c355fe_image-5-slider-v1-dataplus-template.png	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63630e0ae9afcde565c355fe_image-5-slider-v1-dataplus-template.png	(from https://dataplustemplate.webflow.io/home-pages/home-v1)
16:35:47	209630/209630	---M--	200	added ('OK')	image/png	etag:%22c7fb92712a2fdd4a595488397b398134%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63656f05372cec262d99a780_image-3-perks-section-dataplus-template.png	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63656f05372cec262d99a780_image-3-perks-section-dataplus-template.png	(from https://dataplustemplate.webflow.io/home-pages/home-v2)
16:35:47	115523/115523	---M--	200	added ('OK')	image/png	etag:%2270f3946f9ede187a12e5e484b1f60e4e%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63643f53441d999d65d94a77_image-stats-v2-section-dataplus-template.png	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63643f53441d999d65d94a77_image-stats-v2-section-dataplus-template.png	(from https://dataplustemplate.webflow.io/home-pages/home-v2)
16:35:47	9695/9695	---M--	200	added ('OK')	image/jpeg	etag:%225cbc3efd855b43528a80a61147bae3a5%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63645c1bcdbed62679d71d0a_image-1-testimonial-v2-strip-dataplus-template.jpg	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63645c1bcdbed62679d71d0a_image-1-testimonial-v2-strip-dataplus-template.jpg	(from https://dataplustemplate.webflow.io/home-pages/home-v2)
16:35:47	10822/10822	---M--	200	added ('OK')	image/jpeg	etag:%22795e4c77dbc0bacf5cb44fa3281cd2f6%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63645c1bcdbed6bfe3d71d09_image-3-testimonial-v2-strip-dataplus-template.jpg	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63645c1bcdbed6bfe3d71d09_image-3-testimonial-v2-strip-dataplus-template.jpg	(from https://dataplustemplate.webflow.io/home-pages/home-v2)
16:35:48	10690/10690	---M--	200	added ('OK')	image/jpeg	etag:%22ce108daf791a6197e0ea83da2c9d6407%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63645c248c5690d3d4b2a4ff_image-2-testimonial-v2-strip-dataplus-template.jpg	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63645c248c5690d3d4b2a4ff_image-2-testimonial-v2-strip-dataplus-template.jpg	(from https://dataplustemplate.webflow.io/home-pages/home-v2)
16:35:48	10607/10607	---M--	200	added ('OK')	image/jpeg	etag:%22ac953c2f81c620401460ce4fb1c8830c%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63645c1abc276d45f4eb98b2_image-5-testimonial-v2-strip-dataplus-template.jpg	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63645c1abc276d45f4eb98b2_image-5-testimonial-v2-strip-dataplus-template.jpg	(from https://dataplustemplate.webflow.io/home-pages/home-v2)
16:35:48	11582/11582	---M--	200	added ('OK')	image/jpeg	etag:%22372054cb34e6a6c3e9d716f6fc602af6%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63645c1bbc276d447beb98b4_image-4-testimonial-v2-strip-dataplus-template.jpg	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63645c1bbc276d447beb98b4_image-4-testimonial-v2-strip-dataplus-template.jpg	(from https://dataplustemplate.webflow.io/home-pages/home-v2)
16:35:48	10234/10234	---M--	200	added ('OK')	image/jpeg	etag:%227b361e395da58c93fd525bd09c514484%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63645c1bc3bd1d71a0f1ff77_image-6-testimonial-v2-strip-dataplus-template.jpg	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63645c1bc3bd1d71a0f1ff77_image-6-testimonial-v2-strip-dataplus-template.jpg	(from https://dataplustemplate.webflow.io/home-pages/home-v2)
